Date,Open,High,Low,Close,Adj Close,Volume
1997-07-15,9714.78,9714.78,9451.45,9555.98,9555.94,
1997-07-16,9634.79,9648.43,9482.45,9544.56,9544.52,
1997-07-17,9742.58,9889.45,9571.8,9571.8,9571.76,
1997-07-18,9669.74,9677.4,9555.98,9677.4,9677.36,
1997-07-21,9814.25,9896.73,9750.7,9833.77,9833.72,
1997-07-22,9877.39,9877.39,9543.76,9550.4,9550.36,
1997-07-23,9694.28,9694.28,9345.9,9381.06,9381.02,
1997-07-24,9500.86,9632.42,9475.54,9632.42,9632.38,
1997-07-25,9719.06,9819.77,9710.27,9808.91,9808.87,
1997-07-28,9929.98,9995.37,9899.58,9923.05,9923.0,
1997-07-29,9980.11,10057.95,9892.34,9892.34,9892.29,
1997-07-30,9953.94,10000.61,9898.3,9942.79,9942.74,
1997-07-31,10111.83,10113.57,10050.93,10066.35,10066.3,
1997-08-01,9953.31,10102.77,9942.34,10001.56,10001.51,
1997-08-04,10167.31,10167.31,10059.09,10065.76,10065.71,
1997-08-05,10077.08,10077.08,9914.1,9919.68,9919.63,
1997-08-06,9991.32,9991.32,9833.44,9861.47,9861.42,
1997-08-07,9935.21,9962.21,9822.14,9840.88,9840.83,
1997-08-08,9921.91,9934.54,9851.79,9923.84,9923.79,
1997-08-11,10035.38,10036.04,9863.63,9897.27,9897.22,
1997-08-12,9895.99,9932.34,9759.36,9807.74,9807.7,
1997-08-13,9870.24,9870.24,9547.8,9556.12,9556.08,
1997-08-14,9659.69,9659.69,9501.63,9632.34,9632.3,
1997-08-15,9728.49,9804.2,9700.75,9770.8,9770.75,
1997-08-19,9788.24,9806.29,9703.9,9712.45,9712.41,
1997-08-20,9831.56,9856.59,9797.25,9855.16,9855.12,
1997-08-21,9983.34,10054.55,9983.34,10025.13,10025.08,
1997-08-22,9992.28,10056.16,9979.73,10020.55,10020.5,
1997-08-25,10026.51,10057.07,9994.75,10011.47,10011.42,
1997-08-26,10134.3,10166.92,10082.01,10116.84,10116.79,
1997-08-27,10191.81,10256.1,10040.48,10050.67,10050.62,
1997-08-28,10067.48,10067.48,9796.88,9827.49,9827.45,
1997-09-01,9861.75,9861.75,9499.52,9504.99,9504.95,
1997-09-02,9564.44,9564.44,9185.49,9211.67,9211.63,
1997-09-03,9460.75,9502.73,9375.77,9460.76,9460.72,
1997-09-04,9421.34,9466.61,9117.87,9147.85,9147.81,
1997-09-05,9278.31,9304.1,9141.43,9290.39,9290.35,
1997-09-08,9357.03,9357.03,9133.43,9149.29,9149.25,
1997-09-09,9154.06,9174.43,9002.77,9079.36,9079.32,
1997-09-10,9242.98,9269.87,9134.43,9145.18,9145.14,
1997-09-11,9038.9,9134.45,9027.88,9115.1,9115.06,
1997-09-12,9157.23,9191.72,9142.53,9155.24,9155.2,
1997-09-15,8996.71,9020.73,8898.13,8932.02,8931.98,
1997-09-17,9070.23,9123.17,9020.37,9087.55,9087.51,
1997-09-18,9075.32,9141.33,9055.37,9141.33,9141.29,
1997-09-19,9189.59,9292.12,9187.21,9243.71,9243.67,
1997-09-22,9257.09,9288.95,9216.58,9220.99,9220.95,
1997-09-23,9230.09,9230.09,9053.77,9073.77,9073.73,
1997-09-24,9032.0,9083.95,8978.73,8994.02,8993.98,
1997-09-25,9168.11,9168.11,8785.96,8791.81,8791.77,
1997-09-26,8750.78,8829.1,8599.82,8719.0,8718.96,
1997-09-30,8806.84,8812.01,8658.06,8708.83,8708.79,
1997-10-01,8737.08,8737.08,8625.84,8695.02,8694.98,
