Date,BuyPrice,TargetValue,CurrentValueBeforeTrade,InvestAmount,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2005/9/2,12600,10000,0,10000,0.793651,10000.0026,-0.0026,0.793651,10000.0026,12600
2005/10/3,13525.28027,20000,10734.35221,9265.647786,0.685061,9265.642029,0.005756305,1.478712,19265.64463,13028.66591
2005/11/1,13867.86035,30000,20506.57152,9493.428484,0.684563,9493.424086,0.004397974,2.163275,28759.06872,13294.22691
2005/12/1,15130.5,40000,32731.43239,7268.567612,0.480392,7268.571156,-0.0035435,2.643667,36027.63987,13627.90392
2006/1/4,16361.54004,50000,43254.46347,6745.53653,0.41228,6745.535727,0.000802247,3.055947,42773.1756,13996.70073
2006/2/1,16480.08984,60000,50362.28112,9637.718882,0.58481,9637.721342,-0.002459262,3.640757,52410.89694,14395.60425
2006/3/1,15964.45996,70000,58122.71935,11877.28065,0.743983,11877.28682,-0.006169121,4.38474,64288.18376,14661.80064
2006/4/3,17333.31055,80000,76002.06009,3997.939913,0.230651,3997.945411,-0.005498252,4.615391,68286.12917,14795.30752
2006/5/1,16925.71094,90000,78118.77393,11881.22607,0.701963,11881.22283,0.003243641,5.317354,80167.35199,15076.54973
2006/6/1,15503.74023,100000,82438.87515,17561.12485,1.132702,17561.11757,0.007278828,6.450056,97728.46956,15151.56916
2006/7/3,15571.62012,110000,100437.8218,9562.178233,0.614077,9562.173767,0.004466712,7.064133,107290.6433,15188.08371
2006/8/1,15440.91016,120000,109076.643,10923.35702,0.70743,10923.36307,-0.006056637,7.771563,118214.0064,15211.098
2006/9/1,16134.25,130000,125388.3403,4611.659667,0.28583,4611.652677,0.00698975,8.057393,122825.6591,15243.84613
2006/10/2,16254.29004,140000,130967.2028,9032.797219,0.555718,9032.801552,-0.00433264,8.613111,131858.4606,15309.03998
2006/11/1,16375.25977,150000,141041.93,8958.069985,0.547049,8958.06948,0.000505312,9.16016,140816.5301,15372.71512
2006/12/1,16321.78027,160000,149510.1188,10489.88121,0.642692,10489.87761,0.003602973,9.802852,151306.4077,15434.93748
2007/1/4,17353.66992,170000,170115.4579,0,0,0,0,9.802852,151306.4077,15434.93748
2007/2/1,17519.5,180000,171741.0656,8258.934386,0.471414,8258.937573,-0.003187,10.274266,159565.3453,15530.58343
2007/3/1,17453.50977,190000,179322.002,10677.99803,0.611797,10678.00491,-0.006879709,10.886063,170243.3502,15638.65194
2007/4/2,17028.41016,200000,185372.3458,14627.65425,0.859015,14627.65975,-0.005501148,11.745078,184871.01,15740.29648
2007/5/1,17274.98047,210000,202895.9931,7104.006946,0.411231,7104.007493,-0.00054709,12.156309,191975.0174,15792.21271
2007/6/1,17958.88086,220000,218313.705,1686.294979,0.093898,1686.302995,-0.008015682,12.250207,193661.3204,15808.82025
2007/7/2,18146.30078,230000,222295.9409,7704.059145,0.424553,7704.066436,-0.007290156,12.67476,201365.3869,15887.11635
2007/8/1,16870.98047,240000,213835.6284,26164.37159,1.550851,26164.37693,-0.005337035,14.225611,227529.7638,15994.37548
2007/9/3,16524.92969,250000,235077.2215,14922.77846,0.903046,14922.77165,0.006808695,15.128657,242452.5355,16026.04484
2007/10/1,16845.96094,260000,254856.7649,5143.235141,0.30531,5143.240334,-0.005192664,15.433967,247595.7758,16042.26417
2007/11/1,16870.40039,270000,260377.2029,9622.797094,0.570395,9622.792031,0.005063496,16.004362,257218.5678,16071.77892
2007/12/3,15628.96973,280000,250131.6892,29868.31081,1.911086,29868.30524,0.005570195,17.915448,287086.8731,16024.54335
2008/1/4,14691.41016,290000,263203.1947,26796.8053,1.823978,26796.80891,-0.003614945,19.739426,313883.682,15901.35812
2008/2/1,13497.16016,300000,266426.1941,33573.80589,2.487472,33573.80797,-0.002082633,22.226898,347457.49,15632.29786
2008/3/3,12992.17969,310000,288775.8527,21224.14729,1.633609,21224.14167,0.005621148,23.860507,368681.6316,15451.54223
2008/4/1,12656.41992,320000,301988.5961,18011.40386,1.423104,18011.40182,0.002042662,25.283611,386693.0334,15294.21701
2008/5/1,13766.86035,330000,348075.9418,0,0,0,0,25.283611,386693.0334,15294.21701
2008/6/2,14440.13965,340000,365098.8737,0,0,0,0,25.283611,386693.0334,15294.21701
2008/7/1,13463.2002,350000,340398.3166,9601.683447,0.71318,9601.685115,-0.001668698,25.996791,396294.7186,15243.98602
2008/8/1,13094.58984,360000,340417.3154,19582.6846,1.495479,19582.68412,0.000476367,27.49227,415877.4027,15127.06672
2008/9/1,12834.17969,370000,352840.7332,17159.2668,1.336998,17159.27257,-0.005771094,28.829268,433036.6752,15020.73085
2008/10/1,11368.25977,380000,327738.6075,52261.39252,4.597132,52261.39075,0.001770312,33.4264,485298.066,14518.40659
2008/11/4,9114.599609,390000,304668.2524,85331.74762,9.362095,85331.74743,0.000187256,42.788495,570629.8134,13336.05712
2008/12/1,8397.219727,400000,359304.3943,40695.60572,4.846319,40695.60551,0.000208064,47.634814,611325.4189,12833.58467
2009/1/5,9043.120117,410000,430767.3448,0,0,0,0,47.634814,611325.4189,12833.58467
2009/2/2,7873.97998,420000,375075.5718,44924.42819,5.705428,44924.42585,0.002338642,53.340242,656249.8448,12303.09088
2009/3/2,7280.149902,430000,388324.9576,41675.04241,5.724476,41675.04339,-0.000979661,59.064718,697924.8882,11816.27394
2009/4/1,8351.910156,440000,493303.2181,0,0,0,0,59.064718,697924.8882,11816.27394
2009/5/1,8977.370117,450000,530245.8344,0,0,0,0,59.064718,697924.8882,11816.27394
2009/6/1,9677.75,460000,571613.5746,0,0,0,0,59.064718,697924.8882,11816.27394
2009/7/1,9939.929688,470000,587099.1439,0,0,0,0,59.064718,697924.8882,11816.27394
2009/8/3,10352.46973,480000,611465.705,0,0,0,0,59.064718,697924.8882,11816.27394
2009/9/2,10280.45996,490000,607212.4685,0,0,0,0,59.064718,697924.8882,11816.27394
2009/10/1,9978.639648,500000,589385.5369,0,0,0,0,59.064718,697924.8882,11816.27394
2009/11/2,9802.950195,510000,579008.4889,0,0,0,0,59.064718,697924.8882,11816.27394
2009/12/1,9572.200195,520000,565379.3052,0,0,0,0,59.064718,697924.8882,11816.27394
2010/1/4,10654.79004,530000,629322.169,0,0,0,0,59.064718,697924.8882,11816.27394
2010/2/1,10205.01953,540000,602756.6008,0,0,0,0,59.064718,697924.8882,11816.27394
2010/3/1,10172.05957,550000,600809.83,0,0,0,0,59.064718,697924.8882,11816.27394
2010/4/1,11244.40039,560000,664147.3382,0,0,0,0,59.064718,697924.8882,11816.27394
2010/5/6,10695.69043,570000,631737.939,0,0,0,0,59.064718,697924.8882,11816.27394
2010/6/1,9711.830078,580000,573626.5048,6373.495172,0.656261,6373.495319,-0.000147271,59.720979,704298.3835,11793.14866
2010/7/1,9191.599609,590000,548931.3272,41068.67275,4.468066,41068.6737,-0.000948154,64.189045,745367.0572,11612.06024
2010/8/2,9570.30957,600000,614309.0317,0,0,0,0,64.189045,745367.0572,11612.06024
2010/9/1,8927.019531,610000,573016.8584,36983.14159,4.142832,36983.14218,-0.000585973,68.331877,782350.1994,11449.27132
2010/10/1,9404.230469,620000,642608.7197,0,0,0,0,68.331877,782350.1994,11449.27132
