Date,BuyPrice,TargetValue,CurrentValueBeforeTrade,InvestAmount,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,1218.02002,10000,0.0,10000.0,8.210046,10000.00039312092,-0.0003931209193979157,8.210046,10000.00039312092,1218.02002
2005-10-03,1226.699951,20000,10071.263025907747,9928.736974092253,8.093859,9928.73643870091,0.0005353913438739255,16.303905,19928.73683182183,1222.3290574756065
2005-11-01,1202.76001,30000,19609.684940839048,10390.315059160952,8.638727,10390.31537290727,-0.0003137463172606658,24.942632,30319.052204729098,1215.5514383858567
2005-12-01,1264.670044,40000,31544.199508915808,8455.800491084192,6.686171,8455.800172761523,0.00031832266904530115,31.628802999999998,38774.85237749062,1225.9348663144358
2006-01-03,1268.800049,50000,40130.62679621134,9869.373203788658,7.778509,9869.37260034694,0.0006034417183400365,39.407312,48644.22497783756,1234.3959156066662
2006-02-01,1282.459961,60000,50538.29981063483,9461.700189365169,7.377774,9461.699756306814,0.00043305835424689576,46.785086,58105.92473414438,1241.975375104459
2006-03-01,1291.23999,70000,60410.77397878914,9589.22602121086,7.42637,9589.2259245363,9.667455924500246e-05,54.211456,67695.15065868068,1248.724082575474
2006-04-03,1297.810059,80000,70356.17290983589,9643.827090164108,7.430846,9643.826685679913,0.0004044841953145806,61.642302,77338.9773443606,1254.6412907220856
2006-05-01,1305.189941,90000,80454.9125104842,9545.087489515805,7.313179,9545.08766753244,-0.00017801663489080966,68.955481,86884.06501189304,1260.0023051379053
2006-06-01,1285.709961,100000,88656.74878724625,11343.251212753748,8.822558,11343.250702100238,0.0005106535099912435,77.778039,98227.31571399327,1262.9183890068668
2006-07-03,1280.189941,110000,99570.66315850572,10429.336841494282,8.146711,10429.33747443405,-0.0006329397692752536,85.92475,108656.65318842733,1264.55594212875
2006-08-01,1270.920044,120000,109203.487050689,10796.512949311,8.495037,10796.512797821628,0.0001514893720013788,94.419787,119453.16598624896,1265.1285263569696
2006-09-01,1311.01001,130000,123785.28589906787,6214.714100932135,4.740402,6214.714473424019,-0.0003724918842635816,99.160189,125667.88045967298,1267.3219134311348
2006-10-02,1331.319946,140000,132013.9374648298,7986.062535170204,5.998605,7986.062484675331,5.0494872994022444e-05,105.158794,133653.9429443483,1270.9725726252461
2006-11-01,1367.810059,150000,143837.25622550884,6162.743774491159,4.505555,6162.743450377745,0.00032411341362603707,109.664349,139816.68639472604,1274.9511365332232
2006-12-01,1396.709961,160000,153169.28861488038,6830.711385119619,4.890573,6830.712024097653,-0.0006389780337485718,114.554922,146647.3984188237,1280.1492581769965
2007-01-03,1416.599976,170000,162278.49975588187,7721.500244118128,5.450727,7721.499737382552,0.0005067355759820202,120.005649,154368.89815620624,1286.3469298533291
2007-02-01,1445.939941,180000,173520.96103472673,6479.03896527327,4.480849,6479.03853868991,0.000426583360422228,124.48649800000001,160847.93669489614,1292.0914258098587
2007-03-01,1403.170044,190000,174675.7248760659,15324.275123934087,10.921182,15324.275427472008,-0.00030353792135429103,135.40768,176172.21212236816,1301.050369686329
2007-04-02,1424.550049,200000,192895.0171789763,7104.982821023703,4.987528,7104.983256788872,-0.0004357651687314501,140.395208,183277.19537915703,1305.4376854454822
2007-05-01,1486.300049,210000,208669.4045297652,1330.59547023481,0.89524,1330.59525586676,0.00021436804991026293,141.290448,184607.7906350238,1306.5836597462257
2007-06-01,1536.339966,220000,217070.16207644477,2929.8379235552275,1.907024,2929.837187321184,0.0007362340434156067,143.197472,187537.62782234498,1309.6434259841192
2007-07-02,1519.430054,230000,217578.5426136235,12421.45738637651,8.175077,12421.457687564158,-0.0003011876469827257,151.372549,199959.08550990914,1320.9732334619612
2007-08-01,1465.810059,240000,221883.40498067037,18116.59501932963,12.359442,18116.594407227076,0.0006121025544416625,163.731991,218075.6799171362,1331.906358587774
2007-09-04,1489.420044,250000,243865.70923942758,6134.290760572418,4.118577,6134.291136557388,-0.00037598497056023916,167.85056799999998,224209.9710536936,1335.7712977992044
2007-10-01,1547.040039,260000,259671.54926489212,328.45073510787915,0.212309,328.450523640051,0.0002114678281373017,168.062877,224538.42157733365,1336.0381875250991
2007-11-01,1508.439941,270000,253512.75626617024,16487.24373382976,10.929997,16487.24402981018,-0.00029598041874123737,178.99287399999997,241025.66560714383,1346.5657052198842
2007-12-03,1472.420044,280000,263552.6954107664,16447.304589233594,11.170253,16447.30441375113,0.00017548246250953525,190.16312699999997,257472.97002089495,1353.9584360163312
2008-01-02,1447.160034,290000,275196.4773348663,14803.5226651337,10.229361,14803.522412558275,0.0002525754243833944,200.392488,272276.4924334532,1358.7160634157765
2008-02-01,1395.420044,300000,279631.6944222294,20368.305577770574,14.596541,20368.305884467805,-0.00030669723128085025,214.989029,292644.798317921,1361.208056425619
2008-03-03,1331.339966,310000,286223.486559233,23776.513440767012,17.859085,23776.51361669111,-0.00017592409858480096,232.84811399999998,316421.3119346121,1358.9172207536633
2008-04-01,1370.180054,320000,319043.8414143181,956.158585681871,0.697834,956.1582278030359,0.00035787883518878516,233.54594799999998,317377.4701624151,1358.950874037066
2008-05-01,1409.339966,330000,329145.6384137577,854.3615862422739,0.606214,854.361618148724,-3.190645008999127e-05,234.15216199999998,318231.83178056387,1359.0813301162852
2008-06-02,1385.670044,340000,324457.6366212351,15542.363378764887,11.216497,15542.363891515868,-0.000512750981215504,245.36865899999998,333774.19567207975,1360.2967756044172
2008-07-01,1284.910034,350000,315276.6519782244,34723.3480217756,27.023953,34723.3483680444,-0.0003462687964201905,272.392612,368497.54404012416,1352.817689637354
2008-08-01,1260.310059,360000,343299.1489008841,16700.851099115913,13.251383,16700.851290561597,-0.00019144568432238884,285.64399499999996,385198.3953306858,1348.5261446882012
2008-09-02,1277.579956,370000,364933.0425637642,5066.957436235796,3.966059,5066.957482713404,-4.647760761145037e-05,289.61005399999993,390265.35281339916,1347.5545735487458
2008-10-01,1161.060059,380000,336254.6663842331,43745.3336157669,37.677064,43745.33415078677,-0.000535019877133891,327.28711799999996,434010.6869641859,1326.0854555362791
2008-11-03,966.2999878,390000,316257.53813049715,73742.46186950285,76.314253,73742.46174286611,0.00012663673260249197,403.601371,507753.148707052,1258.056055282954
2008-12-01,816.210022,400000,329423.4839031401,70576.51609685988,86.468573,70576.51587063861,0.000226221265620552,490.06994399999996,578329.6645776907,1180.096171287931
2009-01-02,931.7999878,410000,456647.1678403467,0.0,0.0,0.0,0.0,490.06994399999996,578329.6645776907,1180.096171287931
2009-02-02,825.4400024,420000,404523.33575152786,15476.664248472138,18.749593,15476.664090919025,0.00015755311324028298,508.81953699999997,593806.3286686097,1167.0273751076695
2009-03-02,700.8200073,430000,356590.9116347226,73409.08836527739,104.747421,73409.08834987618,1.5401208656840026e-05,613.566958,667215.417018486,1087.4370080053855
2009-04-01,811.0800171,440000,497651.89878663496,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-05-01,877.5200195,450000,538417.2889487157,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-06-01,942.8699951,460000,578513.8746829819,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-07-01,923.3300171,470000,566524.789822135,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-08-03,1002.630005,480000,615180.6421673747,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-09-01,998.039978,490000,612364.353263847,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-10-01,1029.849976,500000,631881.916970693,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-11-02,1042.880005,510000,639876.7122268748,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2009-12-01,1108.859985,520000,680359.8478443756,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2010-01-04,1132.98999,530000,695165.2216087504,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2010-02-01,1089.189941,540000,668290.9587835695,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
2010-03-01,1115.709961,550000,684562.7667810686,0.0,0.0,0.0,0.0,613.566958,667215.417018486,1087.4370080053855
