Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,6081.71,6116.05,6075.35,6116.05,6116.02,2964000.0,6116.02,6116.02,1.63505,9999.998501,9999.998501,0.0,1.63505,9999.998501,6116.02
2005-10-03,6128.97,6139.22,6090.78,6123.92,6123.89,2977400.0,6123.89,6123.89,1.63505,10012.8663445,10012.8663445,0.0,3.2701,20012.8648455,6119.955000000001
2005-11-01,5803.25,5829.82,5786.64,5798.41,5798.38,3006600.0,5798.38,5798.38,1.63505,9480.641219,9480.641219,0.0,4.90515,29493.506064499998,6012.763333333333
2005-12-01,6196.36,6202.91,6162.86,6179.82,6179.79,3207600.0,6179.79,6179.79,1.63505,10104.2656395,10104.2656395,0.0,6.5402,39597.771704,6054.52
2006-01-02,6457.61,6492.92,6424.03,6462.06,6462.03,4678400.0,6462.03,6462.03,1.63505,10565.742151499999,10565.742151499999,0.0,8.17525,50163.5138555,6136.022
2006-02-03,6592.19,6626.43,6547.17,6594.6,6594.57,3590600.0,6594.57,6594.57,1.63505,10782.4516785,10782.4516785,0.0,9.8103,60945.965534,6212.446666666667
2006-03-01,6518.0,6636.92,6518.0,6613.39,6613.36,3071800.0,6613.36,6613.36,1.63505,10813.174267999999,10813.174267999999,0.0,11.44535,71759.139802,6269.720000000001
2006-04-03,6627.32,6672.11,6615.98,6660.76,6660.73,3261800.0,6660.73,6660.73,1.63505,10890.626586499999,10890.626586499999,0.0,13.0804,82649.76638850001,6318.596250000001
2006-05-02,7174.93,7217.37,7141.91,7199.6,7199.57,4970800.0,7199.57,7199.57,1.63505,11771.656928499999,11771.656928499999,0.0,14.715449999999999,94421.42331700001,6416.482222222223
2006-06-01,6874.66,6922.34,6868.42,6872.84,6872.81,2712400.0,6872.81,6872.81,1.63505,11237.3879905,11237.3879905,0.0,16.3505,105658.8113075,6462.115
