Date,BuyPrice,TargetValue,CurrentValueBeforeTrade,InvestAmount,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,6116.02,10000,0.0,10000.0,1.63505,9999.998501,0.0014989999999670545,1.63505,9999.998501,6116.02
2005-10-03,6123.89,20000,10012.8663445,9987.1336555,1.630848,9987.133758720001,-0.00010322000161977485,3.265898,19987.13225972,6119.9499371137745
2005-11-01,5798.38,30000,18936.91764524,11063.082354760001,1.907961,11063.08290318,-0.0005484199991769856,5.173859,31050.2151629,6001.364776832921
2005-12-01,6179.79,40000,31973.36210961,8026.63789039,1.298853,8026.63878087,-0.0008904799997253576,6.4727120000000005,39076.85394377,6037.168646429812
2006-01-02,6462.03,50000,41826.85912536,8173.1408746399975,1.264795,8173.143233849999,-0.0023592100014866446,7.737507000000001,47249.997177620004,6106.617697098044
2006-02-03,6594.57,60000,51025.531536990005,8974.468463009995,1.360888,8974.47117816,-0.002715150005315081,9.098395,56224.46835578,6179.60292510712
2006-03-01,6613.36,70000,60170.9615572,9829.038442800003,1.48624,9829.0401664,-0.0017235999966942472,10.584635,66053.50852218,6240.508862344332
2006-04-03,6660.73,80000,70501.39588355,9498.604116450006,1.426061,9498.607284529999,-0.0031680799929745262,12.010696000000001,75552.11580670999,6290.402804859101
2006-05-02,7199.57,90000,86471.84660072,3528.153399279996,0.490051,3528.15647807,-0.0030787900041104876,12.500747,79080.27228477999,6326.043738408592
2006-06-01,6872.81,100000,85915.25898907,14084.741010929996,2.049342,14084.738191020002,0.002819909994286718,14.550089,93165.0104758,6403.054337042199
2006-07-03,6718.47,110000,97754.33644383,12245.663556169995,1.822686,12245.661210420001,0.0023457499937649118,16.372775,105410.67168622,6438.167731873185
2006-08-01,6441.43,120000,105464.08406825001,14535.915931749987,2.256629,14535.917739470002,-0.0018077200147672556,18.629404,119946.58942569,6438.5628990433615
2006-09-01,6651.43,130000,123912.17664772001,6087.823352279986,0.915265,6087.82107895,0.0022733299856554368,19.544669000000003,126034.41050464,6448.531336327056
2006-10-02,6960.92,140000,136048.87733548,3951.122664519993,0.567615,3951.1226057999997,5.8719993376143975e-05,20.112284000000002,129985.53311044001,6462.992125133078
2006-11-01,7013.96,150000,141066.75548464002,8933.244515359984,1.273638,8933.24598648,-0.0014711200165038463,21.385922,138918.77909692,6495.805001856829
2006-12-01,7613.53,160000,162822.35872466,0.0,0.0,0.0,0.0,21.385922,138918.77909692,6495.805001856829
2007-01-02,7920.76,170000,169392.75554072,607.2444592799875,0.076665,607.2450654,-0.0006061200125486721,21.462587,139526.02416232,6500.894983550679
2007-02-01,7701.5,180000,165294.1137805,14705.886219500011,1.909483,14705.8833245,0.002895000010539661,23.37207,154231.90748682,6598.983636743344
2007-03-01,7678.63,190000,179465.47786410002,10534.522135899984,1.371927,10534.519820009999,0.002315889985766262,24.743997,164766.42730683,6658.844458590502
2007-04-02,7884.95,200000,195105.17914515,4894.820854849997,0.62078,4894.819261,0.0015938499973344733,25.364777,169661.24656783,6688.852283930192
2007-05-02,7903.0,210000,200457.832631,9542.167369000003,1.207411,9542.169133,-0.0017639999969105702,26.572188,179203.41570083,6744.021820891452
2007-06-01,8249.86,220000,219216.83089368002,783.1691063199833,0.094931,783.1674596600001,0.0016466599831801432,26.667119,179986.58316049,6749.382382119718
2007-07-02,8939.45,230000,238389.37694455002,0.0,0.0,0.0,0.0,26.667119,179986.58316049,6749.382382119718
2007-08-01,8891.84,240000,237119.75540896,2880.244591040013,0.32392,2880.2448128,-0.00022175998719831114,26.991039,182866.82797329,6775.094058931559
2007-09-03,8979.92,250000,242377.37093688,7622.629063119995,0.848853,7622.632031759999,-0.002968640003928158,27.839892,190489.46000505,6842.320365504651
2007-10-01,9488.46,260000,264157.70164631994,0.0,0.0,0.0,0.0,27.839892,190489.46000505,6842.320365504651
2007-11-01,9598.19,270000,267212.57299548,2787.4270045200246,0.290412,2787.42955428,-0.0025497599754089606,28.130304,193276.88955933,6870.771448446843
2007-12-03,8583.8,280000,241464.90347519997,38535.09652480003,4.489282,38535.0988316,-0.002306799971847795,32.619586,231811.98839093,7106.52760555974
2008-01-02,8323.01,290000,271493.14047385997,18506.859526140033,2.223578,18506.86192978,-0.0024036399663600605,34.843164,250318.85032071,7184.159576343583
2008-02-01,7673.96,300000,267385.04680944,32614.953190559987,4.250081,32614.95159076,0.001599799987161532,39.093245,282933.80191147,7237.40896698317
2008-03-03,8262.83,310000,323020.83758335,0.0,0.0,0.0,0.0,39.093245,282933.80191147,7237.40896698317
2008-04-01,8419.68,320000,329152.6130616,0.0,0.0,0.0,0.0,39.093245,282933.80191147,7237.40896698317
2008-05-02,8963.59,330000,350415.81994955003,0.0,0.0,0.0,0.0,39.093245,282933.80191147,7237.40896698317
2008-06-02,8724.43,340000,341066.27947535005,0.0,0.0,0.0,0.0,39.093245,282933.80191147,7237.40896698317
2008-07-01,7407.95,350000,289600.80429775,60399.19570225,8.153294,60399.1942873,0.0014149499984341674,47.246539000000006,343332.99619877,7266.839084208263
2008-08-01,7002.51,360000,330844.36181289004,29155.63818710996,4.163598,29155.636630980003,0.001556129955133656,51.410137000000006,372488.63282975,7245.431632087461
2008-09-01,6813.06,370000,350260.34798922006,19739.652010779944,2.897325,19739.6490645,0.0029462799429893494,54.30746200000001,392228.28189425,7222.364431139315
2008-10-01,5763.98,380000,313027.12481876,66972.87518123997,11.619207,66972.87676386,-0.0015826200251467526,65.926669,459201.15865811,6965.332324891312
2008-11-03,4995.04,390000,329306.34872176003,60693.651278239966,12.150784,60693.652111359996,-0.0008331200297106989,78.077453,519894.81076947,6658.70607702162
2008-12-01,4518.41,400000,352785.94440973003,47214.05559026997,10.449263,47214.05443183,0.0011584399690036662,88.52671600000001,567108.8652013,6406.075937588151
2009-01-05,4698.29,410000,415924.18451564,0.0,0.0,0.0,0.0,88.52671600000001,567108.8652013,6406.075937588151
2009-02-02,4259.96,420000,377120.26909136004,42879.73090863996,10.065759,42879.730709639996,0.00019899996550520882,98.59247500000001,609988.59591094,6186.969095876129
2009-03-02,4425.81,430000,436351.56177975005,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-04-02,5473.75,440000,539670.56003125,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-05-04,6330.37,450000,624126.84596575,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-06-01,6954.07,460000,685618.97262325,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-07-01,6578.94,470000,648633.9774765,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-08-03,7056.68,480000,695735.546483,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-09-01,7019.72,490000,692091.568607,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-10-01,7545.25,500000,743904.8719937501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-11-02,7335.15,510000,723190.59299625,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2009-12-01,7649.19,520000,754152.5738452501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-01-04,8207.81,530000,809228.30222975,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-02-01,7524.64,540000,741872.8810840001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-03-01,7577.71,550000,747105.18373225,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-04-01,8013.05,560000,790026.4317987501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-05-03,7952.13,570000,784020.1782217501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-06-01,7289.3,580000,718670.1280175,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-07-01,7254.03,590000,715192.77142425,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-08-02,7911.64,600000,780028.1689090001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-09-01,7668.21,610000,756027.8027197501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-10-01,8244.14,620000,812810.1668465,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-11-01,8379.71,630000,826176.34868225,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2010-12-01,8520.07,640000,840014.78847325,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-01-03,9025.26,650000,889822.7209185001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-02-08,9111.42,660000,898317.4485645001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-03-01,8727.52,670000,860467.7974120001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-04-01,8705.09,680000,858256.3681977501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-05-03,8946.04,690000,882012.2250490001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-06-01,9062.31,700000,893475.5721172501,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-07-01,8739.78,710000,861676.5411555001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-08-01,8701.34,720000,857886.6464165001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-09-01,7757.72,730000,764852.8151570001,0.0,0.0,0.0,0.0,98.59247500000001,609988.59591094,6186.969095876129
2011-10-03,7013.94,740000,691521.7041015,48478.295898500015,6.911707,48478.29819558,-0.0022970799836912192,105.50418200000001,658466.89410652,6241.144963396047
2011-11-01,7621.97,750000,804149.7100785401,0.0,0.0,0.0,0.0,105.50418200000001,658466.89410652,6241.144963396047
2011-12-01,7178.66,760000,757378.6511561201,2621.3488438798813,0.365159,2621.35230694,-0.003463060118519934,105.86934100000002,661088.24641346,6244.378591281303
2012-01-03,7053.35,770000,746733.5163423502,23266.483657649835,3.298643,23266.48360405,5.3599833336193115e-05,109.16798400000002,684354.73001751,6268.822643253263
2012-02-01,7549.17,780000,824127.6697732802,0.0,0.0,0.0,0.0,109.16798400000002,684354.73001751,6268.822643253263
2012-03-01,8118.3,790000,886258.4445072002,0.0,0.0,0.0,0.0,109.16798400000002,684354.73001751,6268.822643253263
2012-04-02,7862.86,800000,858372.5746742401,0.0,0.0,0.0,0.0,109.16798400000002,684354.73001751,6268.822643253263
