Date,MarketPrice,UnitsBought,CashUsed,CumUnits,CumInvested,PortfolioValue,AvgCost,ProfitLoss,ReturnPct
2005-09-02,6116.02,1.63505,9999.998501,1.63505,9999.998501,9999.998501,6116.02,0.0,0.0
2005-09-05,6098.75,0.0,0.0,1.63505,9999.998501,9971.7611875,6116.02,-28.2373134999998,-0.2823731773277327
2005-09-06,6140.11,0.0,0.0,1.63505,9999.998501,10039.386855499999,6116.02,39.38835449999897,0.3938836040431326
2005-09-07,6141.11,0.0,0.0,1.63505,9999.998501,10041.021905499998,6116.02,41.02340449999792,0.41023410649407843
2005-09-08,6149.85,0.0,0.0,1.63505,9999.998501,10055.3122425,6116.02,55.313741500000106,0.5531374979153014
2005-09-09,6119.03,0.0,0.0,1.63505,9999.998501,10004.920001499999,6116.02,4.921500499998729,0.04921501237731274
2005-09-12,6164.95,0.0,0.0,1.63505,9999.998501,10080.0014975,6116.02,80.00299649999943,0.8000300849245079
2005-09-13,6169.05,0.0,0.0,1.63505,9999.998501,10086.7052025,6116.02,86.70670149999933,0.8670671449733547
2005-09-14,6148.67,0.0,0.0,1.63505,9999.998501,10053.382883499999,6116.02,53.38438249999854,0.5338439050231791
2005-09-15,6082.53,0.0,0.0,1.63505,9999.998501,9945.2406765,6116.02,-54.757824500000424,-0.5475783270819989
2005-09-16,6031.21,0.0,0.0,1.63505,9999.998501,9861.329910499999,6116.02,-138.6685905000013,-1.386686112864266
2005-09-19,6035.56,0.0,0.0,1.63505,9999.998501,9868.442378,6116.02,-131.5561230000003,-1.3155614272026606
2005-09-20,6105.32,0.0,0.0,1.63505,9999.998501,9982.503465999998,6116.02,-17.495035000001735,-0.17495037622508036
2005-09-21,6067.31,0.0,0.0,1.63505,9999.998501,9920.3552155,6116.02,-79.64328550000027,-0.7964329743853082
2005-09-22,5972.03,0.0,0.0,1.63505,9999.998501,9764.5676515,6116.02,-235.43084950000048,-2.354308847910902
2005-09-23,5925.51,0.0,0.0,1.63505,9999.998501,9688.5051255,6116.02,-311.4933755000002,-3.1149342219286447
2005-09-26,5930.17,0.0,0.0,1.63505,9999.998501,9696.124458499999,6116.02,-303.87404250000145,-3.0387408805072735
2005-09-27,5945.02,0.0,0.0,1.63505,9999.998501,9720.404951,6116.02,-279.5935499999996,-2.7959359191107924
2005-09-28,5931.35,0.0,0.0,1.63505,9999.998501,9698.0538175,6116.02,-301.9446834999999,-3.0194472876151512
2005-09-29,6009.96,0.0,0.0,1.63505,9999.998501,9826.585098,6116.02,-173.41340300000047,-1.7341342899467316
2005-09-30,6118.58,0.0,0.0,1.63505,9999.998501,10004.184228999999,6116.02,4.185727999998562,0.04185728627439378
2005-10-03,6123.89,1.630848,9987.133758720001,3.265898,19987.13225972,20000.00010322,6119.9499371137745,12.867843500000163,0.06438063916718306
2005-10-04,6142.09,0.0,0.0,3.265898,19987.13225972,20059.43944682,6119.9499371137745,72.30718709999928,0.3617686927789965
2005-10-05,6134.98,0.0,0.0,3.265898,19987.13225972,20036.21891204,6119.9499371137745,49.08665231999839,0.24559127183503282
2005-10-06,6095.78,0.0,0.0,3.265898,19987.13225972,19908.19571044,6119.9499371137745,-78.93654928000251,-0.3949368436365619
2005-10-07,6081.81,0.0,0.0,3.265898,19987.13225972,19862.57111538,6119.9499371137745,-124.56114434000119,-0.6232066847880358
2005-10-11,6066.56,0.0,0.0,3.265898,19987.13225972,19812.76617088,6119.9499371137745,-174.36608884000088,-0.8723917297100203
2005-10-12,5987.37,0.0,0.0,3.265898,19987.13225972,19554.139708259998,6119.9499371137745,-432.9925514600036,-2.1663565629803316
2005-10-13,5960.08,0.0,0.0,3.265898,19987.13225972,19465.01335184,6119.9499371137745,-522.1189078800016,-2.612275243368589
2005-10-14,5969.04,0.0,0.0,3.265898,19987.13225972,19494.27579792,6119.9499371137745,-492.85646180000185,-2.465868816975081
2005-10-17,5826.24,0.0,0.0,3.265898,19987.13225972,19027.90556352,6119.9499371137745,-959.2266962000031,-4.799221237621609
2005-10-18,5830.76,0.0,0.0,3.265898,19987.13225972,19042.66742248,6119.9499371137745,-944.4648372400006,-4.725364424307021
2005-10-19,5694.13,0.0,0.0,3.265898,19987.13225972,18596.44777874,6119.9499371137745,-1390.6844809800023,-6.957899026778557
2005-10-20,5747.97,0.0,0.0,3.265898,19987.13225972,18772.28372706,6119.9499371137745,-1214.848532660002,-6.078153268181863
2005-10-21,5738.73,0.0,0.0,3.265898,19987.13225972,18742.10682954,6119.9499371137745,-1245.0254301800014,-6.229134895400157
2005-10-24,5717.25,0.0,0.0,3.265898,19987.13225972,18671.9553405,6119.9499371137745,-1315.1769192200009,-6.5801181586738755
2005-10-25,5721.28,0.0,0.0,3.265898,19987.13225972,18685.11690944,6119.9499371137745,-1302.0153502800022,-6.514267946802699
2005-10-26,5700.69,0.0,0.0,3.265898,19987.13225972,18617.87206962,6119.9499371137745,-1369.2601901000016,-6.850708607454747
2005-10-27,5661.15,0.0,0.0,3.265898,19987.13225972,18488.7384627,6119.9499371137745,-1498.3937970200022,-7.496792323927881
2005-10-28,5632.94,0.0,0.0,3.265898,19987.13225972,18396.607480119997,6119.9499371137745,-1590.524779600004,-7.957743807026196
2005-10-31,5764.27,0.0,0.0,3.265898,19987.13225972,18825.517864460002,6119.9499371137745,-1161.6143952599996,-5.811811220166874
2005-11-01,5798.38,1.907961,11063.08290318,5.173859,31050.2151629,30000.00054842,6001.364776832921,-1050.214614479999,-3.382310264100319
