date,PE_RATIO,PB_RATIO,DIVIDEND_YIELD
1999/3/31,56.26,2.38,2.3
1999/4/30,56.26,2.54,2.3
1999/5/31,56.26,2.32,2.3
1999/6/30,56.26,2.66,2.3
1999/7/31,56.26,2.26,2.3
1999/8/31,56.26,2.51,2.3
1999/9/30,56.26,2.36,2.3
1999/10/31,56.26,2.42,2.3
1999/11/30,56.26,2.33,2.3
1999/12/31,56.26,2.57,2.3
2000/1/31,56.26,3.03,2.3
2000/2/29,57,2.95,2.38
2000/3/31,57.85,3.08,2.28
2000/4/30,39.48,2.62,2.56
2000/5/31,29.68,2.57,2.57
2000/6/30,27.56,2.38,2.97
2000/7/31,27.65,2.42,3.12
2000/8/31,24.97,2.14,3.96
2000/9/30,20.28,1.75,4.13
2000/10/31,18.63,1.81,4.37
2000/11/30,16.03,1.56,5.09
2000/12/31,14.84,1.39,5.38
2001/1/31,18.59,1.74,4.33
2001/2/28,17.66,1.66,4.43
2001/3/31,18.07,1.7,4.21
2001/4/30,17.8,1.56,4.46
2001/5/31,19.22,1.44,4.71
2001/6/30,18.72,1.4,5.21
2001/7/31,16.67,1.26,6.09
2001/8/31,20.37,1.33,5.91
2001/9/30,18.11,1.22,6.6
2001/10/31,20.49,1.17,6.92
2001/11/30,31.5,1.32,6.16
2001/12/31,41.57,1.66,4.85
2002/1/31,44.08,1.78,4.56
2002/2/28,42.68,1.72,4.25
2002/3/31,45.77,1.9,3.47
2002/4/30,55.36,1.86,2.82
2002/5/31,52.38,1.7,2.67
2002/6/30,45.54,1.53,3
2002/7/31,44.25,1.48,3.17
2002/8/31,84.02,1.59,3.26
2002/9/30,67.77,1.37,3.84
2002/10/31,53.02,1.45,3.67
2002/11/30,52.62,1.47,3.59
2002/12/31,41.77,1.41,3.7
2003/1/31,52.83,1.58,3.2
2003/2/28,48.46,1.4,3.61
2003/3/31,47.81,1.37,3.76
2003/4/30,41.47,1.29,4.32
2003/5/31,35.64,1.48,3.8
2003/6/30,38.06,1.52,3.6
2003/7/31,41.54,1.66,3.42
2003/8/31,29.09,1.79,3.32
2003/9/30,28.48,1.78,3.36
2003/10/31,25.16,1.86,3.11
2003/11/30,24.21,1.79,3.25
2003/12/31,24.76,1.82,3.1
2004/1/31,26.74,1.97,2.87
2004/2/29,27.94,2.11,2.71
2004/3/31,25.97,2.04,2.79
2004/4/30,16.15,1.76,3.6
2004/5/31,15.49,1.72,3.7
2004/6/30,15.09,1.68,3.95
2004/7/31,13.77,1.56,4.81
2004/8/31,13.18,1.63,4.63
2004/9/30,13.21,1.71,4.58
2004/10/31,11.72,1.6,4.69
2004/11/30,11.97,1.64,4.61
2004/12/31,12.58,1.73,4.38
2005/1/31,12.4,1.68,4.44
2005/2/28,12.91,1.74,4.39
2005/3/31,12.59,1.69,5.23
2005/4/30,14.22,1.55,5.62
2005/5/31,14.68,1.6,5.49
2005/6/30,15.31,1.67,5.32
2005/7/31,15.5,1.69,5.39
2005/8/31,16.52,1.71,5.78
2005/9/30,16.59,1.72,5.75
2005/10/31,15.51,1.54,6.11
2005/11/30,16.63,1.65,5.69
2005/12/31,17.55,1.76,5.39
2006/1/31,17.57,1.75,5.4
2006/2/28,17.62,1.77,5.34
2006/3/31,18.73,1.76,5.33
2006/4/30,19.63,1.87,4.52
2006/5/31,17,1.68,4.73
2006/6/30,16.82,1.66,5.21
2006/7/31,16.28,1.6,5
2006/8/31,15.97,1.7,5
2006/9/30,16.12,1.78,4.85
2006/10/31,16.21,1.76,4.73
2006/11/30,17.92,1.89,4.4
2006/12/31,18.98,1.98,4.21
2007/1/31,18.66,1.94,4.27
2007/2/28,19.1,1.99,4.16
2007/3/31,18.71,1.97,4.22
2007/4/30,17.89,1.84,4.34
2007/5/31,18.47,1.9,4.29
2007/6/30,20.26,2.06,3.93
2007/7/31,21.28,2.16,3.81
2007/8/31,18.72,2.15,4.06
2007/9/30,19.51,2.35,3.77
2007/10/31,17.66,2.25,3.74
2007/11/30,15.36,1.98,4.26
2007/12/31,15.31,1.95,4.22
2008/1/31,13.57,1.73,4.77
2008/2/29,15.26,1.93,4.21
2008/3/31,15.52,1.95,4.65
2008/4/30,14.96,1.97,4.54
2008/5/31,14.66,1.9,4.89
2008/6/30,12.81,1.66,5.71
2008/7/31,11.97,1.56,6.24
2008/8/31,12.53,1.69,6.28
2008/9/30,10.14,1.37,7.83
2008/10/31,10.2,1.15,9.26
2008/11/30,9.53,1.06,10.12
2008/12/31,9.8,1.09,9.83
2009/1/31,9.05,1.01,10.53
2009/2/28,9.69,1.08,9.77
2009/3/31,13.89,1.24,6.23
2009/4/30,41.81,1.42,3.76
2009/5/31,62.12,1.64,3.26
2009/6/30,58.08,1.53,3.49
2009/7/31,63.52,1.69,3.15
2009/8/31,103.77,1.66,3.34
2009/9/30,100.17,1.83,3.05
2009/10/31,73.82,1.73,3.11
2009/11/30,97.95,1.77,2.99
2009/12/31,110.54,1.91,2.76
2010/1/31,124.72,1.81,2.83
2010/2/28,106.55,1.77,2.9
2010/3/31,40.38,1.89,3.39
2010/4/30,18.01,1.75,3.43
2010/5/31,16.3,1.63,4.3
2010/6/30,16.1,1.61,4.31
2010/7/31,17,1.71,4.09
2010/8/31,14.2,1.73,4.24
2010/9/30,15.37,1.87,3.92
2010/10/31,14.63,1.81,3.9
2010/11/30,14.89,1.81,3.86
2010/12/31,16.04,1.95,3.58
2011/1/31,16.41,2,3.44
2011/2/28,15.49,1.88,3.75
2011/3/31,15.12,1.88,4.26
2011/4/30,16.65,1.88,4.26
2011/5/31,16.39,1.87,4.3
2011/6/30,15.85,1.8,4.51
2011/7/31,15.86,1.81,4.57
2011/8/31,15.45,1.71,5.16
2011/9/30,14.01,1.58,5.57
2011/10/31,16.78,1.62,5.3
2011/11/30,15.29,1.48,5.83
2011/12/31,15.76,1.54,5.65
2012/1/31,16.74,1.64,5.31
2012/2/29,18.11,1.77,4.9
2012/3/31,20.68,1.69,4.13
2012/4/30,22.72,1.58,4.26
2012/5/31,21.67,1.53,4.28
2012/6/30,21.68,1.53,4.26
2012/7/31,21.74,1.53,4.29
2012/8/31,24.47,1.62,4.27
2012/9/30,25.21,1.7,4.11
2012/10/31,22.5,1.54,4.42
2012/11/30,23.2,1.62,4.19
2012/12/31,23.62,1.65,4.12
2013/1/31,24,1.68,4.04
2013/2/28,23.58,1.69,4.01
2013/3/31,21.23,1.66,3.73
2013/4/30,21.72,1.69,3.53
2013/5/31,20.12,1.7,3.35
2013/6/30,19.66,1.66,3.43
2013/7/31,19.86,1.67,3.41
2013/8/31,18.14,1.69,3.49
2013/9/30,18.45,1.72,3.45
2013/10/31,19.18,1.79,3.34
2013/11/30,17.54,1.73,3.34
2013/12/31,18.04,1.77,3.26
2014/1/31,18.48,1.74,3.33
2014/2/28,18.64,1.78,3.26
2014/3/31,17.55,1.75,3.47
2014/4/30,17.43,1.74,3.61
2014/5/31,17.75,1.71,3.61
2014/6/30,18.38,1.77,3.47
2014/7/31,18.23,1.76,3.51
2014/8/31,17.34,1.81,3.53
2014/9/30,16.5,1.73,3.72
2014/10/31,16.43,1.74,3.71
2014/11/30,15.26,1.72,3.61
2014/12/31,15.42,1.74,3.55
2015/1/31,15.54,1.76,3.53
2015/2/28,15.51,1.79,3.58
2015/3/31,15.72,1.71,3.68
2015/4/30,16.08,1.75,3.8
2015/5/31,15.12,1.69,3.93
2015/6/30,14.56,1.62,4.04
2015/7/31,13.56,1.51,4.37
2015/8/31,12.55,1.49,4.66
2015/9/30,12.54,1.5,4.68
2015/10/31,13.15,1.57,4.49
2015/11/30,13.42,1.49,4.61
2015/12/31,13.46,1.49,4.6
2016/1/31,13.13,1.45,4.71
2016/2/29,13.97,1.5,4.71
2016/3/31,14.69,1.53,4.66
2016/4/30,14.04,1.46,4.84
2016/5/31,15.3,1.46,4.69
2016/6/30,15.53,1.48,4.54
2016/7/31,16.11,1.54,4.39
2016/8/31,17.12,1.62,4.37
2016/9/30,17.28,1.64,4.36
2016/10/31,17.47,1.66,4.31
2016/11/30,16.7,1.62,4.36
2016/12/31,16.51,1.61,4.35
2017/1/31,16.86,1.65,4.26
2017/2/28,17.13,1.69,4.23
2017/3/31,16.1,1.66,4.36
2017/4/30,16.06,1.67,4.32
2017/5/31,15.66,1.67,4.17
2017/6/30,16.22,1.73,4.04
2017/7/31,16.4,1.74,4.03
2017/8/31,16.27,1.81,3.99
2017/9/30,15.97,1.78,4.08
2017/10/31,16.69,1.86,3.9
2017/11/30,15.5,1.75,3.99
2017/12/31,15.66,1.76,3.95
2018/1/31,16.35,1.84,3.79
2018/2/28,15.94,1.78,4.07
2018/3/31,15.58,1.75,4.3
2018/4/30,15.36,1.72,4.42
2018/5/31,14.99,1.69,4.26
2018/6/30,14.95,1.69,4.26
2018/7/31,15.21,1.73,4.19
2018/8/31,14.59,1.76,4.2
2018/9/30,14.57,1.75,4.23
2018/10/31,13.31,1.61,4.82
2018/11/30,13.52,1.58,4.77
2018/12/31,12.74,1.51,4.77
2019/1/31,13.01,1.54,4.67
2019/2/28,13.74,1.6,4.46
2019/3/31,15.22,1.64,4.33
2019/4/30,15.67,1.69,4.22
2019/5/31,15.84,1.54,4.41
2019/6/30,16.19,1.58,4.25
2019/7/31,16.38,1.6,4.22
2019/8/31,16.97,1.62,4.32
2019/9/30,17.32,1.66,4.24
2019/10/31,18.25,1.74,4.04
2019/11/30,18.73,1.73,3.99
2019/12/31,19.57,1.8,3.82
2020/1/31,18.7,1.73,3.99
2020/2/29,18.46,1.7,4.06
2020/3/31,15.73,1.43,4.51
2020/4/30,17.84,1.63,4.05
2020/5/31,18.56,1.68,4.03
2020/6/30,19.73,1.78,3.75
2020/7/31,21.42,1.95,3.45
2020/8/31,20.66,1.91,3.49
2020/9/30,20.51,1.9,3.51
2020/10/31,20.29,1.91,3.51
2020/11/30,20.67,2.02,3.21
2020/12/31,22.37,2.16,2.99
2021/1/31,23,2.23,2.9
2021/2/28,23.45,2.33,2.75
2021/3/31,21.66,2.28,2.83
2021/4/30,22.85,2.43,2.64
2021/5/31,17.83,2.3,2.83
2021/6/30,18.58,2.4,2.72
2021/7/31,18.01,2.34,2.79
2021/8/31,15.86,2.33,2.75
2021/9/30,15.38,2.25,2.86
2021/10/31,15.3,2.26,2.85
2021/11/30,14.21,2.26,2.78
2021/12/31,14.94,2.38,2.66
2022/1/31,14.52,2.31,2.74
2022/2/28,14.21,2.29,2.74
2022/3/31,13.45,2.2,3.96
2022/4/30,12.55,2.06,4.36
2022/5/31,12.3,2.06,4.36
2022/6/30,10.86,1.82,4.93
2022/7/31,10.92,1.84,4.89
2022/8/31,10.95,1.99,4.86
2022/9/30,9.74,1.77,5.34
2022/10/31,9.39,1.7,5.54
2022/11/30,10.92,1.9,4.83
2022/12/31,10.39,1.8,5.09
2023/1/31,11.23,1.95,4.71
2023/2/28,11.41,1.95,4.64
2023/3/31,13.2,1.94,4.33
2023/4/30,13.03,1.9,4.34
2023/5/31,16.13,2.01,3.89
2023/6/30,16.46,2.05,3.66
2023/7/31,16.8,2.08,3.62
2023/8/31,18.09,2.03,3.74
2023/9/30,17.79,2,3.81
2023/10/31,17.53,1.95,3.89
2023/11/30,20.48,2.05,3.57
2023/12/31,21.12,2.12,3.47
2024/1/31,21.17,2.12,3.46
2024/2/29,22.96,2.24,3.23
2024/3/31,23.53,2.35,2.81
2024/4/30,23.67,2.36,2.77
2024/5/31,22.42,2.38,2.66
2024/6/30,24.4,2.58,2.44
2024/7/31,23.56,2.5,2.53
2024/8/31,21.71,2.47,2.54
2024/9/30,21.68,2.47,2.56
2024/10/31,22.27,2.53,2.49
2024/11/30,20.52,2.4,2.55
2024/12/31,21.29,2.49,2.46
2025/1/31,21.75,2.54,2.41
2025/2/28,20.46,2.46,2.62
2025/3/31,17.28,2.18,3.17
2025/4/30,16.89,2.13,3.33
2025/5/31,17.05,2.23,3.19
2025/6/30,17.78,2.32,3.05
2025/7/31,18.89,2.49,2.9
2025/8/31,20.05,2.74,2.82
2025/9/30,21.37,2.92,2.66
2025/10/31,23.32,3.19,2.43
2025/11/30,22.14,2.89,2.48
2025/12/31,23.22,3.03,2.36
2026/1/31,25.84,3.37,2.12
2026/2/28,27.46,3.66,2.05
2026/3/31,24.18,3.14,2.31
