Date,Dividend_Index_Weight_Basis(%),PER_Index_Weight_Basis,PBR_Index_Weight_Basis
2004/9/30,0.99,18.06,1.67
2004/10/1,0.95,13.62,1.8
2004/10/4,0.92,13.98,1.85
2004/10/5,0.92,13.99,1.85
2004/10/6,0.91,14.12,1.87
2004/10/7,0.91,14.07,1.86
2004/10/8,0.92,14.05,1.86
2004/10/12,0.93,13.86,1.84
2004/10/13,0.93,13.85,1.84
2004/10/14,0.94,13.65,1.81
2004/10/15,0.95,13.58,1.8
2004/10/18,0.95,13.55,1.8
2004/10/19,0.94,13.67,1.82
2004/10/20,0.96,13.45,1.79
2004/10/21,0.96,13.33,1.77
2004/10/22,0.96,13.41,1.78
2004/10/25,0.98,13.15,1.75
2004/10/26,0.98,13.16,1.75
2004/10/27,0.98,13.12,1.76
2004/10/28,0.97,13.41,1.78
2004/10/29,0.98,13.36,1.77
2004/11/1,0.98,13.31,1.76
2004/11/2,0.97,13.5,1.79
2004/11/4,0.97,13.61,1.8
2004/11/5,0.96,13.76,1.82
2004/11/8,0.97,13.65,1.8
2004/11/9,0.97,13.64,1.8
2004/11/10,0.96,13.67,1.81
2004/11/11,0.98,13.46,1.78
2004/11/12,0.97,13.72,1.81
2004/11/15,0.95,13.99,1.84
2004/11/16,0.95,13.9,1.83
2004/11/17,0.96,13.86,1.83
2004/11/18,0.96,13.8,1.82
2004/11/19,0.96,13.78,1.82
2004/11/22,0.98,13.49,1.78
2004/11/24,0.98,13.52,1.79
2004/11/25,0.98,13.54,1.79
2004/11/26,0.98,13.47,1.78
2004/11/29,0.97,13.63,1.8
2004/11/30,0.98,13.53,1.79
2004/12/1,0.99,13.39,1.77
2004/12/2,0.97,13.62,1.8
2004/12/3,0.96,13.75,1.82
2004/12/6,0.97,13.63,1.81
2004/12/7,0.98,13.5,1.79
2004/12/8,0.97,13.58,1.8
2004/12/9,0.99,13.38,1.77
2004/12/10,0.99,13.35,1.77
2004/12/13,0.99,13.39,1.77
2004/12/14,0.98,13.55,1.79
2004/12/15,0.97,13.6,1.8
2004/12/16,0.98,13.56,1.8
2004/12/17,0.96,13.75,1.82
2004/12/20,0.96,13.78,1.83
2004/12/21,0.96,13.84,1.83
2004/12/22,0.95,13.94,1.84
2004/12/24,0.94,14.14,1.87
2004/12/27,0.94,14.12,1.87
2004/12/28,0.94,14.19,1.88
2004/12/29,0.94,14.14,1.87
2004/12/30,0.93,14.27,1.89
2005/1/4,0.93,14.31,1.89
2005/1/5,0.94,14.21,1.88
2005/1/6,0.93,14.28,1.89
2005/1/7,0.94,14.2,1.88
2005/1/11,0.93,14.34,1.9
2005/1/12,0.94,14.23,1.88
2005/1/13,0.94,14.11,1.87
2005/1/14,0.94,14.21,1.88
2005/1/17,0.93,14.27,1.89
2005/1/18,0.94,14.19,1.88
2005/1/19,0.94,14.17,1.88
2005/1/20,0.95,13.99,1.86
2005/1/21,0.95,13.93,1.85
2005/1/24,0.95,13.99,1.86
2005/1/25,0.95,13.98,1.85
2005/1/26,0.94,14.09,1.87
2005/1/27,0.95,14.14,1.86
2005/1/28,0.95,14.15,1.86
2005/1/31,0.94,14.41,1.87
2005/2/1,0.94,14.4,1.87
2005/2/2,0.95,14.43,1.87
2005/2/3,0.96,14.39,1.87
2005/2/4,0.96,14.36,1.86
2005/2/7,0.95,14.53,1.88
2005/2/8,0.95,14.55,1.88
2005/2/9,0.95,14.54,1.88
2005/2/10,0.95,14.63,1.89
2005/2/14,0.95,14.73,1.91
2005/2/15,0.95,14.73,1.91
2005/2/16,0.95,14.67,1.9
2005/2/17,0.95,14.6,1.89
2005/2/18,0.95,14.66,1.91
2005/2/21,0.95,14.64,1.9
2005/2/22,0.95,14.58,1.9
2005/2/23,0.96,14.54,1.88
2005/2/24,0.96,14.58,1.88
2005/2/25,0.95,14.74,1.91
2005/2/28,0.94,14.84,1.92
2005/3/1,0.94,14.93,1.93
2005/3/2,0.93,14.98,1.93
2005/3/3,0.93,15.04,1.94
2005/3/4,0.93,15.06,1.94
2005/3/7,0.93,15.12,1.95
2005/3/8,0.93,15.07,1.94
2005/3/9,0.93,15.17,1.96
2005/3/10,0.93,15.05,1.94
2005/3/11,0.93,15.09,1.95
2005/3/14,0.94,15.03,1.94
2005/3/15,0.94,14.99,1.93
2005/3/16,0.94,15.06,1.94
2005/3/17,0.95,14.96,1.92
2005/3/18,0.94,15.09,1.94
2005/3/22,0.95,15.09,1.94
2005/3/23,0.96,14.98,1.92
2005/3/24,0.96,14.98,1.92
2005/3/25,0.96,15.01,1.92
2005/3/28,0.96,15.1,1.93
2005/3/29,0.98,14.85,1.9
2005/3/30,0.98,14.8,1.89
2005/3/31,0.97,14.94,1.91
2005/4/1,0.97,15.02,1.93
2005/4/4,0.97,14.94,1.92
2005/4/5,0.96,15.06,1.94
2005/4/6,0.96,15.17,1.94
2005/4/7,0.96,15.05,1.94
2005/4/8,0.96,15.13,1.95
2005/4/11,0.97,14.96,1.93
2005/4/12,0.97,14.86,1.92
2005/4/13,0.98,14.79,1.91
2005/4/14,0.98,14.7,1.9
2005/4/15,1,14.45,1.87
2005/4/18,1.04,13.9,1.8
2005/4/19,1.03,14.06,1.82
2005/4/20,1.03,14.1,1.82
2005/4/21,1.04,13.98,1.81
2005/4/22,1.04,14.05,1.82
2005/4/25,1.04,14.09,1.82
2005/4/26,1.05,14.03,1.81
2005/4/27,1.08,13.77,1.78
2005/4/28,1.12,13.45,1.76
2005/5/2,1.12,13.45,1.76
2005/5/6,1.11,13.68,1.79
2005/5/9,1.11,13.5,1.79
2005/5/10,1.13,13.38,1.78
2005/5/11,1.15,13.38,1.76
2005/5/12,1.15,13.32,1.74
2005/5/13,1.16,19.22,1.65
2005/5/16,1.16,19.25,1.63
2005/5/17,1.19,19.19,1.6
2005/5/18,1.19,19.13,1.6
2005/5/19,1.16,19.47,1.64
2005/5/20,1.16,19.39,1.63
2005/5/23,1.15,19.43,1.64
2005/5/24,1.16,19.25,1.64
2005/5/25,1.14,19.23,1.62
2005/5/26,1.14,19.19,1.62
2005/5/27,1.12,19.21,1.64
2005/5/30,1.12,19.35,1.65
2005/5/31,1.11,19.36,1.66
2005/6/1,1.11,19.46,1.66
2005/6/2,1.11,19.37,1.66
2005/6/3,1.11,19.37,1.66
2005/6/6,1.12,19.32,1.65
