Date,PE Ratio,Price-to-Book,Dividend Yield
2026/4/14,29.9226,5.5133,1.1268
2026/3/31,,,1.1568
2026/3/1,29.1481,,
2026/2/28,,,1.1448
2026/2/1,29.4532,,
2026/1/31,,,1.139
2026/1/1,29.604,,
2025/12/31,,5.3888,1.1516
2025/12/1,29.2789,,
2025/11/30,,,1.1686
2025/11/1,28.7998,,
2025/10/31,,,1.1673
2025/10/1,28.7776,,
2025/9/30,,5.2652,1.1919
2025/9/1,28.1296,,
2025/8/31,,,1.2186
2025/8/1,27.8388,,
2025/7/31,,,1.2344
2025/7/1,27.8147,,
2025/6/30,,5.0083,1.2827
2025/6/1,27.0973,,
2025/5/31,,,1.3242
2025/5/1,26.3434,,
2025/4/30,,,1.4256
2025/4/1,24.559,,
2025/3/31,,4.6878,1.3396
2025/3/1,26.2309,,
2025/2/28,,,1.2537
2025/2/1,28.1502,,
2025/1/31,,,1.2588
2025/1/1,28.1597,,
2024/12/31,,4.9905,1.2449
2024/12/1,28.6002,,
2024/11/30,,,1.2539
2024/11/1,28.6649,,
2024/10/31,,,1.2754
2024/10/1,28.4537,,
2024/9/30,,4.9406,1.3046
2024/9/1,28.0927,,
2024/8/31,,,1.3254
2024/8/1,27.6736,,
2024/7/31,,,1.3071
2024/7/1,28.0828,,
2024/6/30,,4.7928,1.3292
2024/6/1,27.6381,,
2024/5/31,,,1.3675
2024/5/1,26.9279,,
2024/4/30,,,1.3975
2024/4/1,26.4146,,
2024/3/31,,4.7051,1.3698
2024/3/1,27.0159,,
2024/2/29,,,1.4096
2024/2/1,26.1398,,
2024/1/31,,,1.4669
2024/1/1,25.0125,,
2023/12/31,,4.3118,1.5006
2023/12/1,24.3468,,
2023/11/30,,,1.5689
2023/11/1,23.5107,,
2023/10/31,,,1.6352
2023/10/1,22.7781,,
2023/9/30,,3.9843,1.572
2023/9/1,23.93,,
2023/8/31,,,1.5615
2023/8/1,24.1646,,
2023/7/31,,,1.5287
2023/7/1,24.7574,,
2023/6/30,,4.1909,1.5813
2023/6/1,24.0063,,
2023/5/31,,,1.6533
2023/5/1,23.1548,,
2023/4/30,,,1.6591
2023/4/1,23.2698,,
2023/3/31,,3.9314,1.7188
2023/3/1,22.6555,,
2023/2/28,,,1.6614
2023/2/1,23.3976,,
2023/1/31,,,1.7005
2023/1/1,22.8205,,
2022/12/31,,3.7475,1.7105
2022/12/1,22.6476,,
2022/11/30,,,1.6947
2022/11/1,22.067,,
2022/10/31,,,1.7674
2022/10/1,20.4387,,
2022/9/30,,3.599,1.6963
2022/9/1,20.5822,,
2022/8/31,,,1.5603
2022/8/1,22.0255,,
2022/7/31,,,1.6477
2022/7/1,20.5304,,
2022/6/30,,3.7798,1.642
2022/6/1,20.2796,,
2022/5/31,,,1.5676
2022/5/1,20.8112,,
2022/4/30,,,1.4268
2022/4/1,22.4015,,
2022/3/31,,4.5051,1.4112
2022/3/1,22.1882,,
2022/2/28,,,1.3852
2022/2/1,22.4156,,
2022/1/31,,,1.332
2022/1/1,23.1137,,
2021/12/31,,4.7282,1.292
2021/12/1,23.6255,,
